crown,lat,lon,source
1,-37.7942610326526,144.915442753823,Melbourne
1,-37.8295083752596,144.972012490162,Melbourne
1,-37.7813971749149,144.956023287577,Melbourne
1,-37.7951521938633,144.952312670567,Melbourne
1,-37.8281352659553,144.965238911982,Melbourne
1,-37.7920746634295,144.951762726387,Melbourne
1,-37.7940882108296,144.926183521087,Melbourne
1,-37.8024356587866,144.930320899536,Melbourne
1,-37.7854553971814,144.94353846486,Melbourne
1,-37.7797601486751,144.948971009072,Melbourne
1,-37.7945244945937,144.957308208361,Melbourne
1,-37.8395207321493,144.981431916884,Melbourne
1,-37.7936841018084,144.93841347921,Melbourne
1,-37.8114798674925,144.936546731447,Melbourne
1,-37.8088700244635,144.92586996097,Melbourne
1,-37.7951489384127,144.95247788431,Melbourne
1,-37.8006452286676,144.960611539169,Melbourne
1,-37.7943177431305,144.915515543678,Melbourne
1,-37.8023588381282,144.9303288365,Melbourne
1,-37.7948434376832,144.930719965266,Melbourne
1,-37.785422149369,144.943507819591,Melbourne
1,-37.8069493490337,144.953911719854,Melbourne
1,-37.7889950056848,144.946630338936,Melbourne
1,-37.7820708552513,144.941300180465,Melbourne
1,-37.7954964609946,144.952137471864,Melbourne
1,-37.7872627349886,144.956847202147,Melbourne
1,-37.7920933749355,144.950704052615,Melbourne
1,-37.782949114325604,144.954892641691,Melbourne