postcode,suburb,state
3067,Abbotsford,VIC
3040,Aberfeldie,VIC
3042,Airport West,VIC
3021,Albanvale,VIC
3206,Albert Park,VIC
3350,Alfredton,VIC
3025,Altona North,VIC
3022,Ardeer,VIC
3143,Armadale,VIC
3551,Ascot,VIC
3032,Ascot Vale,VIC
3147,Ashburton,VIC
3147,Ashwood,VIC
3195,Aspendale Gardens,VIC
3195,Aspendale,VIC
3049,Attwood,VIC
3034,Avondale Heights,VIC
3782,Avonsleigh,VIC
3354,Bakery Hill,VIC
3183,Balaclava,VIC
3350,Ballarat Central,VIC
3350,Ballarat East,VIC
3350,Ballarat North,VIC
3103,Balwyn,VIC
3175,Bangholme,VIC
3153,Bayswater North,VIC
3153,Bayswater,VIC
3807,Beaconsfield,VIC
3193,Beaumaris,VIC
3160,Belgrave Heights,VIC
3160,Belgrave,VIC
3215,Bell Park,VIC
3215,Bell Post Hill,VIC
3381,Bellfield,VIC
3216,Belmont,VIC
3552,Bendigo,VIC
3165,Bentleigh East,VIC
3204,Bentleigh,VIC
3806,Berwick,VIC
3918,Bittern,VIC
3193,Black Rock,VIC
3130,Blackburn North,VIC
3130,Blackburn South,VIC
3130,Blackburn,VIC
3942,Blairgowrie,VIC
3196,Bonbeach,VIC
3155,Boronia,VIC
3129,Box Hill North,VIC
3128,Box Hill South,VIC
3019,Braybrook,VIC
3088,Briar Hill,VIC
3187,Brighton East,VIC
3186,Brighton,VIC
3047,Broadmeadows,VIC
3057,Brunswick East,VIC
3056,Brunswick,VIC
3055,Brunswick West,VIC
3083,Bundoora,VIC
3357,Buninyong,VIC
3121,Burnley,VIC
3023,Burnside Heights,VIC
3151,Burwood East,VIC
3125,Burwood,VIC
3023,Cairnlea,VIC
3124,Camberwell,VIC
3126,Canterbury,VIC
3054,Carlton North,VIC
3053,Carlton,VIC
3163,Carnegie,VIC
3201,Carrum Downs,VIC
3197,Carrum,VIC
3145,Caulfield East,VIC
3162,Caulfield South,VIC
3162,Caulfield,VIC
3148,Chadstone,VIC
3192,Cheltenham,VIC
3116,Chirnside Park,VIC
3168,Clayton,VIC
3782,Clematis,VIC
3068,Clifton Hill,VIC
3058,Coburg North,VIC
3781,Cockatoo,VIC
3770,Coldstream,VIC
3066,Collingwood,VIC
3214,Corio,VIC
3064,Craigieburn,VIC
3977,Cranbourne South,VIC
3977,Cranbourne,VIC
3977,Cranbourne West,VIC
3136,Croydon North,VIC
3136,Croydon,VIC
3047,Dallas,VIC
3175,Dandenong North,VIC
3175,Dandenong,VIC
3023,Deer Park,VIC
3356,Delacombe,VIC
3037,Delahey,VIC
3977,Devon Meadows,VIC
3089,Diamond Creek,VIC
3172,Dingley Village,VIC
3008,Docklands,VIC
3109,Doncaster East,VIC
3108,Doncaster,VIC
3111,Donvale,VIC
3754,Doreen,VIC
3177,Doveton,VIC
3936,Dromana,VIC
3215,Drumcondra,VIC
3556,Eaglehawk,VIC
3084,Eaglemont,VIC
3550,East Bendigo,VIC
3219,East Geelong,VIC
3002,East Melbourne,VIC
3196,Edithvale,VIC
3095,Eltham,VIC
3184,Elwood,VIC
3782,Emerald,VIC
3802,Endeavour Hills,VIC
3551,Epsom,VIC
3041,Essendon North,VIC
3040,Essendon,VIC
3177,Eumemmerring,VIC
3078,Fairfield,VIC
3060,Fawkner,VIC
3156,Ferntree Gully,VIC
3786,Ferny Creek,VIC
3031,Flemington,VIC
3131,Forest Hill,VIC
3200,Frankston North,VIC
3199,Frankston South,VIC
3185,Gardenvale,VIC
3220,Geelong,VIC
3218,Geelong West,VIC
3163,Glen Huntly,VIC
3150,Glen Waverley,VIC
3046,Glenroy,VIC
3555,Golden Gully,VIC
3555,Golden Square,VIC
3043,Gowanbrae,VIC
3088,Greensborough,VIC
3059,Greenvale,VIC
3216,Grovedale,VIC
3803,Hallam,VIC
3215,Hamlyn Heights,VIC
3976,Hampton Park,VIC
3188,Hampton,VIC
3806,Harkaway,VIC
3915,Hastings,VIC
3202,Heatherton,VIC
3135,Heathmont,VIC
3081,Heidelberg Heights,VIC
3084,Heidelberg,VIC
3081,Heidelberg West,VIC
3190,Highett,VIC
3216,Highton,VIC
3875,Hillside,VIC
3029,Hoppers Crossing,VIC
3166,Huntingdale,VIC
3551,Huntly,VIC
3099,Hurstbridge,VIC
3550,Ironbark,VIC
3079,Ivanhoe East,VIC
3079,Ivanhoe,VIC
3047,Jacana,VIC
3977,Junction Village,VIC
3551,Junortoun,VIC
3555,Kangaroo Flat,VIC
3038,Keilor Downs,VIC
3033,Keilor East,VIC
3038,Keilor Lodge,VIC
3036,Keilor,VIC
3031,Kensington,VIC
3102,Kew East,VIC
3173,Keysborough,VIC
3137,Kilsyth,VIC
3021,Kings Park,VIC
3012,Kingsville,VIC
3180,Knoxfield,VIC
3144,Kooyong,VIC
3355,Lake Gardens,VIC
3350,Lake Wendouree,VIC
3075,Lalor,VIC
3911,Langwarrin South,VIC
3910,Langwarrin,VIC
3026,Laverton North,VIC
3028,Laverton,VIC
3140,Lilydale,VIC
3221,Lovely Banks,VIC
3093,Lower Plenty,VIC
3156,Lysterfield South,VIC
3085,Macleod,VIC
3012,Maidstone,VIC
3145,Malvern East,VIC
3144,Malvern,VIC
3032,Maribyrnong,VIC
3048,Meadow Heights,VIC
3045,Melbourne Airport,VIC
3004,Melbourne,VIC
3159,Menzies Creek,VIC
3754,Mernda,VIC
3206,Middle Park,VIC
3082,Mill Park,VIC
3352,Miners Rest,VIC
3132,Mitcham,VIC
3355,Mitchell Park,VIC
3793,Monbulk,VIC
3129,Mont Albert North,VIC
3094,Montmorency,VIC
3765,Montrose,VIC
3221,Moolap,VIC
3039,Moonee Ponds,VIC
3189,Moorabbin,VIC
3138,Mooroolbark,VIC
3195,Mordialloc,VIC
3767,Mount Dandenong,VIC
3930,Mount Eliza,VIC
3796,Mount Evelyn,VIC
3350,Mount Helen,VIC
3350,Mount Pleasant,VIC
3149,Mount Waverley,VIC
3170,Mulgrave,VIC
3804,Narre Warren North,VIC
3805,Narre Warren South,VIC
3805,Narre Warren,VIC
3219,Newcomb,VIC
3350,Newington,VIC
3015,Newport,VIC
3174,Noble Park North,VIC
3214,Norlane,VIC
3550,North Bendigo,VIC
3051,North Melbourne,VIC
3214,North Shore,VIC
3070,Northcote,VIC
3168,Notting Hill,VIC
3166,Oakleigh East,VIC
3167,Oakleigh South,VIC
3788,Olinda,VIC
3204,Ormond,VIC
3114,Park Orchards,VIC
3195,Parkdale,VIC
3052,Parkville,VIC
3044,Pascoe Vale South,VIC
3044,Pascoe Vale,VIC
3912,Pearcedale,VIC
3090,Plenty,VIC
3030,Point Cook,VIC
3207,Port Melbourne,VIC
3072,Preston,VIC
3054,Princes Hill,VIC
3550,Quarry Hill,VIC
3095,Research,VIC
3073,Reservoir,VIC
3121,Richmond,VIC
3134,Ringwood,VIC
3185,Ripponlea,VIC
3084,Rosanna,VIC
3939,Rosebud,VIC
3939,Rosebud West,VIC
3178,Rowville,VIC
3064,Roxburgh Park,VIC
3941,Rye,VIC
3936,Safety Beach,VIC
3556,Sailors Gully,VIC
3977,Sandhurst,VIC
3787,Sassafras,VIC
3179,Scoresby,VIC
3028,Seabrook,VIC
3198,Seaford,VIC
3018,Seaholme,VIC
3356,Sebastopol,VIC
3159,Selby,VIC
3789,Sherbrooke,VIC
3977,Skye,VIC
3350,Soldiers Hill,VIC
3912,Somerville,VIC
3943,Sorrento,VIC
3015,South Kingsville,VIC
3141,South Yarra,VIC
3006,Southbank,VIC
3015,Spotswood,VIC
3550,Spring Gully,VIC
3172,Springvale South,VIC
3088,St Helena,VIC
3182,St Kilda,VIC
3550,Strathdale,VIC
3551,Strathfieldsaye,VIC
3041,Strathmore Heights,VIC
3041,Strathmore,VIC
3020,Sunshine North,VIC
3188,Sunshine,VIC
3020,Sunshine West,VIC
3127,Surrey Hills,VIC
3037,Sydenham,VIC
3029,Tarneit,VIC
3037,Taylors Hill,VIC
3107,Templestowe Lower,VIC
3106,Templestowe,VIC
3154,The Basin,VIC
3792,The Patch,VIC
3074,Thomastown,VIC
3825,Thomson,VIC
3071,Thornbury,VIC
3142,Toorak,VIC
3941,Tootgarook,VIC
3032,Travancore,VIC
3029,Truganina,VIC
3158,Upwey,VIC
3133,Vermont South,VIC
3084,Viewbank,VIC
3216,Wandana Heights,VIC
3139,Wandin North,VIC
3152,Wantirna South,VIC
3134,Warrandyte South,VIC
3113,Warrandyte,VIC
3134,Warranwood,VIC
3195,Waterways,VIC
3087,Watsonia,VIC
3096,Wattle Glen,VIC
3216,Waurn Ponds,VIC
3355,Wendouree,VIC
3550,West Bendigo,VIC
3003,West Melbourne,VIC
3049,Westmeadows,VIC
3150,Wheelers Hill,VIC
3219,Whittington,VIC
3016,Williamstown North,VIC
3024,Wyndham Vale,VIC
3013,Yarraville,VIC